10001课,料理,休みは何をしますか？,,
山本健一,明天|休息|你|要|做|什么|?|,,明日の休みは何をしますか?,明日|休み|あなた|～するつもり|する|何|?|
李娜,我|去|超市|买|小麦粉|,,スーパーに小麦粉を買いに行きますよ,私|行く|スーパー|買う|小麦粉|
山本健一,买|小麦粉|干|什么|?|,,小麦粉を買って何をするの?,買う|小麦粉|する|何|?|
李娜,我|用|小麦粉|做|饺子|,,小麦粉を使って餃子を作ります,私|使う|小麦粉|作る|餃子|
山本健一,"太棒了|,|我|想|去|你|家|吃|饺子|",,"すごいね,あなたの家に食べに行きたいな","すごいね|,|私|～したい|行く|あなた|家|食べる|餃子|"
10002课,電話,あなたの電話番号は？,,
张勇,"喂|,|你好|,|李娜|在|吗|?|",,"もしもし,こんにちは,李娜さんいますか?","もしもし|,|こんにちは|,|李娜|いる|～ですか|?|"
山本健一,她|不|在|,,彼女はいませんよ,彼女|～ではない|いる|
张勇,她|什么时候|回来|?|,,いつ戻ってきますか?,彼女|いつ|帰ってくる|?|
山本健一,我|不太清楚|,,私ははっきりとは分かりません,私|あまりはっきりしない|
张勇,"我|是|张勇|,|她|回来|后|麻烦|你|告诉|她|,|给|我|打电话|可以|吗|?|",,"私は張勇です,彼女が戻った後お手数ですが私に電話するように彼女に伝えてもらっても良いですか?","私|～です|張勇|,|彼女|帰ってくる|後|手数をかける|あなた|伝える|彼女|,|くれる|私|電話を掛ける|～できる|～ですか|?|"
山本健一,"行|,|你|的|电话号码|是|多少|?|",,"いいですよ,あなたの電話番号は?","よろしい|,|あなた|の|電話番号|いくつ|?|"
张勇,她|知道|的|,,彼女は知っていますよ,彼女|知っている|の|
山本健一,好的|,,分かりました,分かりました|
10003课,試験,HSKの準備,,
李娜,你|在|干|什么|?|,,何をしてるんですか?,あなた|～している|する|何|?|
山本健一,"我|在|学|中文|,|快要|准备|HSK|的|考试|了|",,"中国語の勉強をしている所です,もうすぐHSK試験の準備です","|私|～している|勉強する|中国語|,|もうすぐ|準備|HSK|の|試験|（快要～了の形で使われる）|"
李娜,你|打算|考|几级|呢|?|,,あなたは何級を受けるつもりですか?,あなた|～するつもりだ|試験を受ける|何級|（疑問文の文末に用い答えを催促する語気がある）|?|
山本健一,我|打算|考|五级|,,五級を受けるつもりです,あなた|～するつもりだ|試験を受ける|五級|
李娜,你|有|信心|吗|?|,,自信はありますか?,あなた|有る|自信|～ですか|?|
山本健一,我|没有|,,自信ありません,私|ない|
李娜,加油|,,頑張ってね,頑張って|
10004课,食事,上海料理を食べたことはありますか？,,
李娜,你|吃|过|上海菜|吗|?|,,上海料理を食べたことありますか?,あなた|食べたことがある|上海料理|～ですか|?|
山本健一,"吃过|,|上海菜|有点|甜|",,"食べたことありますよ,上海料理は少し甘いですね","食べたことがある|,|上海料理|少し|甘い|"
李娜,四川菜|呢|?|,,四川料理は?,四川料理|（疑問文の文末に用い答えを催促する語気がある）|?|
山本健一,我|没|吃过|正宗|的|四川菜|,,正当な四川料理は食べたことないです,私|～していない|食べたことがある|正当な|の|四川料理|
李娜,"四川菜|非常|辣|,|下次|一起|去|吃|吧|",,"四川料理はとても辛いですよ,次回一緒に食べに行きましょうよ","四川料理|非常に|辛い|,|次回|一緒に|行く|食べる|～しましょう|"
10005课,地下鉄,交通カード,,
李娜,你|坐过|上海|的|地铁|吗|?|,,上海の地下鉄に乗ったことはありますか?,あなた|乗ったことがある|上海|の|地下鉄|?|
山本健一,没|坐过|,,乗ったことありません,～していない|乗ったことがある|
李娜,第一次|坐|地铁|吗|?|,,初めて地下鉄に乗るの?,初めて|乗る|地下鉄|～ですか|?|
山本健一,是的|,,そうです,そうです|
李娜,"那|先|买|交通卡|吧|,|交通卡|很|方便|",,"じゃあまず交通カードを買いましょう,交通カードはとても便利ですよ","じゃあ|先に|買う|交通カード|～しましょう|,|交通カード|とても|便利です|"
山本健一,多少钱|?|,,いくらですか?,いくら|?|
李娜,"交通卡|是|免费|的|,|但是|要|先|交|二十块|的|押金|",,"交通カードは無料ですが,先に二十元のデポジットを払う必要があります","交通カード|～です|無料|の|,|しかし|～する必要がある|先に|払う|二十元|の|デポジット|"
10006课,家,この家はどうですか？,,
山本健一,你|觉得|这套|房子|怎么样|?|,,あなたはこの家はどう思いますか?,あなた|～と思う|これ（套は量詞、組になっているものを数える）|家|どうですか|?|
李娜,"离|娄山关路|十|分钟|,|两室|一厅|,|不错|",,"娄山関路から十分で2LK,いいですね","～から|娄山関路|十|分間|,|二つの部屋|一つのリビングルーム|,|よい|"
山本健一,"可是|房租|太|贵|了|,|一个月|八千块|",,"でも家賃が高すぎです,一ヶ月八千元ですよ","しかし|家賃|すごく～（文末に了を伴う）|高い|（強調、太～了の形で使われる）|,|一ヶ月|八千元|"
李娜,这个|怎么样|?|这套|比|那套|一个月|便宜|两千块|,,これはどう?これはそれより一ヶ月二千元安いです,これ|どうですか|?|これ（套は量詞、組になっているものを数える）|比べる|それ（套は量詞、組になっているものを数える）|一ヶ月|安い|二千元|
山本健一,可是|这套|房子|的|装修|没有|那套|好|,,でもこの家の内装はあれより良くないです,しかし|これ（套は量詞、組になっているものを数える）|家|の|内装|ない|それ（套は量詞、組になっているものを数える）|良い|
李娜,你|可以|考虑|一下|,,少し考えてみたら,あなた|～したら|考える|すこし|
10007课,食事,これらは私が作ったチマキです,,
李娜,这些|是|我|做|的|粽子|,,これらは私が作ったチマキです,これら|～です|私|作る|の|チマキ|
山本健一,你|做|粽子|做|得|很好|,,チマキ作るの上手ですね,あなた|作る|チマキ|作る|の|良い|
李娜,"不要客气|,|你|尝尝|吧|",,"遠慮しないで,食べてみて","遠慮しないで|,|あなた|食べてみて|～しましょう|"
山本健一,好吃极了|,,とても美味しいですね,とても美味しい|
李娜,"吃|得|慢|一点儿|,|别|着急|",,"ゆっくり食べて,焦らないで","食べる|の|ゆっくり|少し|,|～するな|焦る|"
10008课,生活,なぜ飛行機に乗らないの？,,
李娜,你|回来|了|吗|?|,,あなた戻ってきたの?,あなた|戻ってくる|～した|～ですか|?|
山本健一,我|刚|坐|船|回来|,,ちょうど船に乗って戻ってきた所です,私|～したばかり|乗る|船|戻ってくる|
李娜,为什么|不|坐|飞机|呢|?|,,なぜ飛行機に乗らないの?,なぜ|～ではない|乗る|飛行機|（疑問文の文末に用い答えを催促する語気がある）|?|
山本健一,"因为|没|买|到|机票|,|只|买|到|了|船票|",,"航空券を買うことが出来なくて,ただ船のチケットは買うことが出来ました",～なので|～してない|買う|達成する|航空券|ただ|買う|達成する|～した|船のチケット|
李娜,是|吗|?|我|看|到|了|到|日本|的|机票|,,そうですか?私は日本行きの航空券を見ましたよ,～です|～ですか|?|私|見る|達成する|～した|日本|行く|の|航空券|
山本健一,"哎呀|,|我|没|找|到|哦|",,"あれ,私は探すことができませんでした","あれ|,|私|～してない|探す|達成する|（感嘆詞、半信半疑の気持ちを表すときに発する）|"
10009课,IT,またパソコンが壊れました,,
山本健一,我|电脑|又|坏了|,,また私のパソコンが壊れました,私|パソコン|また|壊れた|
店员,"好的|,|我|看|一下|",,"分かりました,少し見てみます","分かりました|,|私|見る|少し|"
山本健一,怎么样|?|能|修|吗|?|,,どうですか?修理出来ますか?,どうですか|?|出来る|修理|～ですか|?|
店员,"问题|不|大|,|马上|就|能|修|好|",,"大きい問題ではないですね,すぐに修理出来ますよ","問題|～ではない|大きい|,|すぐ|すぐ|出来る|修理|～し終える|"
山本健一,"好的|,|我|在|店|里|等|",,"分かりました,店の中で待っています","分かりました|,|私|～で|店|中|待つ|"
店员,"先生|,|你|的|电脑|修|好|了|",,"お客さん,パソコン修理出来ましたよ","～さん（男性に対する敬称）|,|あなた|の|パソコン|修理|～し終える|～した|"
山本健一,太好了|,,よかった,よかった|
店员,"如果|再|有|问题|,|请|告诉|我|",,"もしまた問題があったら,どうか私に連絡して下さい","もし|また|有る|問題|,|どうぞ|伝える|私|"
山本健一,"好的|,|谢谢|",,"分かりました,ありがとうございます","分かりました|,|ありがとうございます|"
10010课,マッサージ,一時間マッサージいいですか？,,
山本健一,按摩|一个小时|可以|吗|?|,,一時間マッサージいいですか?,マッサージ|一時間|出来る|～ですか|?|
マッサージ師,"可以|,|按摩|的|时候|放松|一下|",,"いいですよ,マッサージの時はリラックスして下さい","出来る|,|マッサージ|の|時|リラックスさせる|少し|"
山本健一,好的|,,分かりました,分かりました|
マッサージ師,这样|可以|了|吗|?|痛不痛|?|,,この様な感じでいいですか?痛いですか?,この様な|～してもよい|～した|～ですか|?|痛いですか|?|
山本健一,"有点|痛|,|再|轻|一点儿|,|腰部|多|按|一会儿|",,"少し痛いです,もう少し軽く,腰の部分を多めに揉んで下さい","少し|痛い|,|さらに|軽い|少し|,|腰の部分|多い|押す|しばらく|"
マッサージ師,是|这儿|吗|?|,,この辺ですか?,～です|ここ|～ですか|?|
山本健一,"是|,|真|舒服|",,そう、ほんとに気持ちいいですね,"そうです|,|本当に|気持ちいい|"
10011课,両替,どこで両替出来ますか？,,
山本健一,在|哪里|可以|换|日元|?|,,どこで日本円に両替出来ますか?,～で|どこ|出来る|換える|日本円|?|
李娜,一般|银行|或者|机场|都|可以|,,普通は銀行か空港どちらでも出来ますよ,普通|銀行|或いは|空港|いずれも|出来る|
山本健一,银行|和|机场|的|汇率|一样|吗|?|,,銀行と空港のレートは同じですか?,銀行|と|空港|の|為替レート|同じ|～ですか|?|
李娜,"不一样|,|机场|很|贵|",,"違います,空港は高いです","違う|,|空港|とても|高い|"
山本健一,哪个|银行|最|近|呢|?|,,どの銀行が一番近いですか?,どの|銀行|最も|近い|（疑問文の文末に用い答えを催促する語気がある）|?|
李娜,好像|娄山关路|地铁站|附近|有|农商银行|,,娄山関路駅付近の農商銀行かもしれません,～のような気がする|娄山関路|地下鉄駅|付近|有る|農商銀行|
山本健一,那|我|明天|去|换钱|,,じゃあ明日両替しに行きます,じゃあ|私|明日|行く|両替する|
10012课,地下鉄,上海の地下鉄はどうですか？,,
山本健一,上海|的|地铁|怎么样|?|,,上海の地下鉄はどうですか?,上海|の|地下鉄|どうですか|?|
李娜,"我|喜欢|上海|的|地铁|,|又快|又便宜|",,"私は上海の地下鉄は好きですよ,速いし安いし","私|好き|上海|の|地下鉄|,|また|速くて|安くて|"
山本健一,上班|的|时候|拥挤|吗|?|,,出勤の時は混んでいますか?,出勤する|の|時|混みあう|～ですか|?|
李娜,"在|人民广场|太|拥挤|了|,|现在|坐|地铁|的|人|越来越|多|了|",,"人民広場はとても混んでますよ,今地下鉄に乗る人がますます増えています","～で|人民広場|すごく～（文末に了を伴う）|混みあう|（強調、太～了の形で使われる）|,|今|乗る|地下鉄|ますます|多い|～した|"
山本健一,现在|有|几条|路线|?|,,今路線は何本有るんですか?,今|有る|いくつ（条は量詞、細長いものを数える）|路線|?|
李娜,"现在|已经|到|十六号线|了|,|以后|路线|越来越|多|了|",,"今すでに十六号線に達しました,以降路線はますます増えますよ","今|すでに|達する|十六号線|～した|,|以降|路線|ますます|多い|～した|"
10013课,食事,私が見ながら注文します,,
服务员,"这|是|菜单|,|请|点菜|",,"これはメニューです,ご注文をどうぞ","これ|～です|メニュー|,|どうぞ|料理を注文する|"
山本健一,"我|看不懂|,|你|点|吧|",,"私は見て分かりません,あなたが注文して下さい","私|見て分からない|,|あなた|注文する|～しましょう|"
李娜,"好|,|我|看|着|点|吧|",,"はい,見ながら注文します","はい|,|私|見る|～しながら|注文する|～しましょう|"
服务员,你们|点|什么|?|,,何を注文しますか?,あなた達|注文する|何|?|
李娜,"来|一份|麻婆豆腐|,|一份|青椒土豆丝|,|一份|番茄炒蛋|",,"麻婆豆腐を一つ,青椒土豆丝を一つ,番茄炒蛋を一つ","来る|一つ|麻婆豆腐|,|一つ|青椒土豆丝|,|一つ|番茄炒蛋|"
服务员,你们|要|主食|吗|?|,,主食は要りますか?,あなた達|要る|主食|～ですか|?|
李娜,要|两碗|米饭|,,ご飯を二杯下さい,要る|二杯（碗は量詞、お椀を数える）|ご飯|
服务员,喝|什么|饮料|?|,,飲み物は何を飲みますか?,飲む|何|飲み物|?|
李娜,来|两瓶|可乐|,,コーラを二本下さい,来る|二本（瓶は量詞、瓶を数える）|コーラ|
服务员,好的|,,分かりました,分かりました|
10014课,タクシー,何番ターミナルですか？,,
司机,您|去哪儿|?|,,どこに行きますか?,あなた|どこに行く|?|
山本健一,"我|去|浦东|机场|,|到|机场|大概|多长时间|?|",,"浦東空港に行きます,空港まで大体どのくらい掛かりますか?","私|行く|浦東|空港|,|～まで|空港|大体|どれぐらいの時間|?|"
司机,"不|堵|的话|,|差不多|一个小时|",,混まなければほぼ一時間です,"～ではない|混む|～ということなら|,|ほぼ|一時間|"
山本健一,"请|快|一点儿|,|我|有|急事|",,"どうか少し速めでお願いします,急用がありますので","どうぞ|速い|少し|,|私|有る|急用|"
司机,"好的|,|您|几点|的|飞机|?|",,"分かりました,何時の飛行機ですか?","分かりました|,|あなた|何時|の|飛行機|?|"
山本健一,八点|三十分|起飞|的|,,八時三十分発の飛行機です,八時|三十分|離陸する|の|
司机,"来得及|,|几号|航站楼|?|",,"間に合いますよ,何番ターミナルですか?","間に合う|,|何番|ターミナル|?|"
山本健一,二号|航站楼|,,二番ターミナルです,二番|ターミナル|
司机,好的|,,分かりました,分かりました|
10015课,病院,お腹をこわしました,,
医生,你|怎么了|?|,,どうかしましたか?,あなた|どうかしましたか|?|
山本健一,肚子|疼|得|厉害|,,お腹がとても痛いんです,お腹|痛い|の|すごい|
医生,拉肚子|了|吗|?|,,お腹を壊ししましたか?,お腹を壊す|～した|～ですか|?|
山本健一,是的|,,そうです,そうです|
医生,昨天|吃|什么|了|?|,,昨日何を食べましたか?,昨日|食べる|何|～した|?|
山本健一,吃|了|色拉|和|生鱼片|,,サラダと刺し身を食べました,食べる|～した|サラダ|と|刺し身|
医生,发烧|吗|?|,,熱はありますか?,熱が出る|～ですか|?|
山本健一,不|发烧|,,熱はありません,～ではない|熱が出る|
医生,"你|先|去|检查|,|然后|我|再|告诉|你|检查|的|结果|",,"まず検査に行って,その後またあなたに検査結果を伝えます","あなた|先に|行く|検査|,|その後|私|また|伝える|検査|の|結果|"
山本健一,好吧|,,分かりました,分かりました|
10016课,生活,どれくらい中国語を勉強しましたか？,,
李娜,你|学|汉语|学|了|多长时间|了|?|,,あなたはどれくらい中国語を勉強しましたか?,あなた|勉強する|中国語|勉強する|～した|どれぐらいの時間|～した|?|
山本健一,学|了|一年|了|,,一年勉強しました,勉強する|～した|一年|～した|
李娜,"我|说|的|话|,|你|能|听|懂|吗|?|",,私のしゃべっている話は聞き取ることが出来ますか?,"私|しゃべる|の|話|,|あなた|出来る|聞く|分かる|～ですか|?|"
山本健一,"慢|点儿|说|,|我|听得懂|",,"ゆっくりしゃべると,聞き取ることが出来ます","ゆっくり|少し|しゃべる|,|私|聞いて分かる|"
李娜,你|应该|多|跟|中国人|谈话|,,中国人と多くしゃべるべきですよ,あなた|～すべきです|多い|と|中国人|話をする|
山本健一,"对|,|这样|可以|提高|汉语|",,"そうです,そうすれば中国語を向上出来ますね","そうです|,|そうする|出来る|向上する|中国語|"
10017课,バス,このバスは古北路に着きますか？,,
山本健一,"请问|,|这|路|公交车|到|古北路|吗|?|",,"お尋ねします,このバスは古北路に着きますか?","お尋ねします|,|この|道路|バス|着く|古北路|～ですか|?|"
司机,"到|,|上来|吧|",,"着きますよ,上がって来て下さい","着く|,|上がって来る|～しましょう|"
山本健一,多少钱|?|,,いくらですか?,いくら|?|
司机,"两块|,|可以|用|交通卡|",,二元です、交通カードを使うことが出来ますよ,"二元|,|出来る|使う|交通カード|"
山本健一,到|古北路|还|有|几站|?|,,古北路まであと何駅ですか?,～まで|古北路|まだ|有る|何駅|?|
司机,下两站|就|是|古北路|,,二駅先が古北路です,二駅先|すぐ|～です|古北路|
山本健一,好的|,,分かりました,分かりました|
司机,"古北路|到|了|,|请|下车|吧|",,古北路に着きました、どうぞおりて下さい,"古北路|着く|～した|,|どうぞ|車をおりる|～しましょう|"
10018课,タクシー,中国のタクシーはとても安い,,
李娜,中国|的|出租车|很|便宜|,,中国のタクシーはとても安いね,中国|の|タクシー|とても|安い|
山本健一,"可是|很|危险|,|有的|司机|开得|太快了|",,"でもとても危険です,ある運転手は運転が速すぎるよ","でも|とても|危険である|,|ある|運転手|運転が|速すぎる|"
李娜,一些|司机|是|这样|,,そのような運転手もいくらかいます,いくらか|運転手|～です|このような|
山本健一,"上次|有个|司机|一边|开车|,|一边|打电话|,|太|糟糕|了|",,"前回運転しながら電話をしている運転手がいて,ひどかったです","前回|います|運転手|～しながら～する（一边～一边～）|運転する|,|～しながら～する（一边～一边～）|電話を掛ける|,|すごく～（文末に了を伴う）|ひどい|（強調、太～了の形で使われる）|"
李娜,是|吗|?|这样|不好|,,そうですか?そういうのは良くないですね,～です|～ですか|?|このような|良くない|
山本健一,所以|我|现在|很少|坐|出租车|了|,,だから私は今あまりタクシーに乗っていません,だから|私|今|少ない|乗る|タクシー|～した|
10019课,買い物,今バーゲン中だそうですね,,
山本健一,听说|现在|有|优惠|活动|,,今バーゲン中だそうですね,～だそうだ|今|有る|特恵の|活動|
服务员,"是的|,|这边|的|都|是|打六折|的|",,"そうです,この辺りの物は全て四割引です","そうです|,|この辺り|の|全て|～です|四割引する|の|"
山本健一,这个|鞋子|多少钱|?|,,この靴はいくらですか?,この|靴|いくら|?|
服务员,"原价|是|一百五块|,|现在|九十块|",,定価は百五十元で今は九十元です,"定価|～です|百五十元|,|今|九十元|"
山本健一,那个|呢|?|,,あれは?,あれ|（疑問文の文末に用い答えを催促する語気がある）|?|
服务员,"不好意思|,|那边|的|打折|不了|",,"すみません,あの辺りのは割引できません","すみません|,|あの辺り|の|割引する|～しきれない|"
山本健一,"好的|,|我|看看|",,"分かりました,ちょっと見てみます","分かりました|,|私|ちょっと見てみる|"
10020课,旅行,旅行は好きですか？,,
李娜,你|喜欢|去|旅游|吗|?|,,あなた旅行は好きですか?,あなた|好き|行く|旅行|～ですか|?|
山本健一,"我|不太|喜欢|,|不怎么|去|旅游|",,"あまり好きじゃないです,そんなに旅行には行きません","私|あまり～ない|好き|,|そんなに～ない|行く|旅行|"
李娜,你|去过|中国|的|什么|地方|?|,,中国のどんな場所に行ったことがありますか,あなた|行ったことがある|中国|の|どんな|場所|?|
山本健一,"除了|上海|以外|,|我|都|没|去过|",,上海以外は全て行ったことがありません,"～を除いて|上海|以外|,|私|全て|～してない|行ったことがある|"
李娜,"太|可惜|了|,|你|应该|去|旅游|",,"とてももったいないよ,旅行に行くべきですよ","|すごく～（文末に了を伴う）|惜しい|（強調、太～了の形で使われる）|,|あなた|～すべきである|行く|旅行|"
山本健一,你|有|推荐|的|地方|吗|?|,,おすすめの場所はありますか?,あなた|有る|おすすめ|の|場所|～ですか|?|
李娜,北京|吧|,,北京かな,北京|～でしょう（推量）|
